ID;NAME;START_NODE_ID;END_NODE_ID;SEG_TYPE_ID;DEFAULT_LENGTH;AVG_DURATION;VISIBLE
7928;200_Lordelo_Praca da Galiza;30;19;1;1820;1;Y
7929;200_Lordelo_Mercado da Foz;30;37;1;2490;1;Y
7930;200_Mercado da Foz_Lordelo;37;30;1;2570;1;Y
7931;200_Mercado da Foz_Castelo do Queijo;37;15;1;2620;1;Y
7932;200_Castelo do Queijo_Mercado da Foz;15;37;1;2350;1;Y
7934;703_Marques_Cordoaria;9;18;1;3000;1;Y
7935;703_Marques_Areosa;9;27;1;2940;1;Y
7937;703_Areosa_Alto da Maia;27;123;1;3360;1;Y
7939;703_Alto da Maia_Ermesinde;123;63;1;1980;1;Y
7941;703_Ermesinde_Sonhos;63;161;1;1480;1;Y
7945;402_Bom Sucesso_Marques;60;9;1;2490;1;Y
7946;402_Marques_Bom Sucesso;9;60;1;3290;1;Y
7947;402_Marques_Antas;9;8;1;1820;1;Y
7948;402_Antas_Marques;8;9;1;1460;1;Y
7949;402_Antas_S.Roque;8;7;1;3440;1;Y
7950;402_S.Roque_Antas;7;8;1;2830;1;Y
7993;203_Marques_Boavista;9;4;1;3310;1;Y
7994;203_Boavista_Marques;4;9;1;2470;1;Y
7995;203_Boavista_Pinheiro Manso;4;305;1;2070;1;Y
7996;203_Pinheiro Manso_Boavista;305;4;1;2540;1;Y
11007;UOF_Lavadores;11;150;2;9200;20;Y
8001;204_Boavista_Carvalhido;4;104;1;750;1;Y
11008;Lavadores_UOF;150;11;2;9500;20;Y
11225;S.Lazaro_UON;103;1;2;8000;1;Y
8009;305_Campo 24 Agosto_Areosa;183;27;1;4170;1;Y
8010;305_Areosa_Campo 24 Agosto;27;183;1;3960;1;Y
8011;305_Areosa_Hospital de S.Joao;27;28;1;1190;1;Y
8013;400_S.Bento_S.Lazaro;1026;103;1;1570;1;Y
8015;400_S.Lazaro_Campanha;103;34;1;1330;1;Y
8016;400_Campanha_S.Lazaro;34;103;1;1560;1;Y
8017;400_Campanha_Freixo;34;51;1;930;1;Y
8018;400_Freixo_Campanha;51;34;1;1190;1;Y
8019;400_Freixo_Azevedo;51;145;1;1490;1;Y
8020;400_Azevedo_Freixo;145;51;1;1530;1;Y
11885;602_Araujo_Ponte de Moreira;41;1546;1;2010;1;Y
