ID;NAME;EMPTY;TYPE_VALUE;OLD_TYPE_VALUE
179174;37_Santo Ovidio_Hospital de S.Joao;N;0;0
179175;37_Hospital de S.Joao_Santo Ovidio;N;0;0
179176;36_Aeroporto_Norteshopping;N;0;0
179177;36_Norteshopping_Aeroporto;N;0;0
177912;603_Marques_MaiaZoo;N;0;0
179178;UON_Norteshopping;Y;1;0
179179;Norteshopping_UON;Y;1;0
1613668;39_Trindade_Estadio do Dragao;N;0;0
1613728;Cabine_UOF;N;1;0
178590;507_Boavista_Cordoaria;N;0;0
178591;507_Cordoaria_Boavista;N;0;0
173648;99_UOF_Praca;Y;1;1
173649;99_UON_Praca;Y;1;1
177550;UOF_Trindade;Y;1;0
177551;Trindade_UOF;Y;1;0
179910;303_Campo 24 de Agosto_Boavista;N;0;0
178890;UOF_Ponte de Moreira;Y;1;0
178891;Ponte de Moreira_UOF;Y;1;0
1612506;200_Cordoaria_Mercado Foz;N;0;0
1612507;200_Mercado Foz_Cordoaria;N;0;0
179915;35_Casa da Musica_ Senhora da Hora;N;0;0
179916;35_Senhora da Hora_C.asa da Musica;N;0;0
1611301;UON_S.Lazaro;Y;1;0
179919;302_Campo 24 de Agosto_Batalha;N;0;0
179920;303_Batalha_Campo 24 de Agosto;N;0;0
179921;Campo 24Agosto_UOF;N;1;0
179922;801_Cordoaria_S.Pedro da Cova;N;0;0
179923;801_S.Pedro da Cova_Cordoaria;N;0;0
1611704;Bolhao_Ermesinde;Y;1;0
179943;66_Aliados_Queimodro;N;0;0
179944;66_Queimodro_Aliados;N;0;0
179959;600_Aliados_Maia;N;0;0
179960;600_Maia_Aliados;N;0;0
179961;600_Aliados_Barca;N;0;0
179962;600_Barca_Aliados;N;0;0
179963;Aliados_UON;N;0;0
179964;600_Vale Formoso_Aliados;N;0;0
179965;904_Coimbroes_Gaia Camara;N;0;0
179974;UOF_Campo 24Agosto;N;1;0
180022;203_Casa da Musica_Castelo do Queijo;N;0;0
180023;203_Castelo do Queijo_Casa da Musica;N;0;0
180024;Serralves_UOF;N;1;0
180025;UOF_Serralves;N;1;0
400241;200_Bolhao_Mercado da Foz;N;0;0
400243;200_Mercado da Foz_Bolhao;N;0;0
400361;UOF_Maia Barca;N;1;0
400681;UON_Francelos;N;1;0
400683;Francelos_UON;N;1;0
400721;Bolhao_Valpi;N;1;0
400723;Valpi_Bolhao;N;1;0
400761;208_Boavista_Aldoar;N;0;0
400763;208_Aldoar_Boavista;N;0;0
400845;UOF_Guardeiras;N;1;0
400847;Guardeiras_UOF;N;1;0
400931;907_Vila D'Este_Stº Ovidio;N;0;0
400961;UON_Monte da Virgem;N;1;0
400963;Monte da Virgem_UON;N;1;0
401043;600_Maia Barca_Maia;N;0;0
175730;803_Bom Sucesso_Venda Nova;N;0;0
175731;803_Venda Nova_Bom Sucesso;N;0;0
175732;803_Hospital de S.Joao_Venda Nova;N;0;0
42898;UOF_Bom Sucesso;Y;1;0
175770;805_Marques_RioTinto;N;0;0
175771;805_RioTinto_Marques;N;0;0
175773;805_Rio Tinto_Areosa;N;0;0
1612246;Araujo_UOF;N;1;0
1612366;89_Aliados_Stº Ovidio;N;0;0
1612367;89_Stº Ovidio_Aliados;N;0;0
1611766;Infante_UOF;Y;1;0
175810;UON_RioTinto(estacao);Y;1;0
175910;UON_Sonhos;Y;1;0
176250;UOF_Gatoes;Y;1;0
176251;Gatoes_UOF;Y;1;0
