ID;NAME;START_STOP;END_STOP;VISIBLE;LENGTH
12405;AVLM2_PML2;13225;15026;Y;550
12406;PVH2_JDEU3;15214;14375;Y;220
12407;JDEU3_CRZ1;14375;13812;Y;510
12412;CHAO2_FMGC2;13572;17095;Y;400
12416;CRZ2_JDEU4;13813;14376;Y;530
12417;JDEU4_PVH1;14376;15213;Y;200
12418;PML1_AVLM1;15025;13224;Y;420
12419;AVLM1_AM4;13224;13073;Y;460
12420;9AG1_COVN2;12857;13724;Y;240
12421;COVN2_FND2;13724;17103;Y;190
12422;FND1_COVN1;17102;13723;Y;150
12423;COVN1_9AG2;13723;12858;Y;310
12428;HMT1_GOA1;14246;14168;Y;350
12429;LVDR2_CRG2;14727;13768;Y;430
12431;FMAG_FTC1;17088;17180;Y;350
12434;SRC1_NVT;15704;17294;Y;390
12439;TPR_FTC2;15903;17181;Y;260
12440;FTC2_BFB;17181;13277;Y;220
12448;DAM_MTT2;13937;17239;Y;180
12449;MTT2_MOR3;17239;14887;Y;260
12450;MRD_DJOA4;14916;13972;Y;340
12451;MOR3_MRD;14887;14916;Y;330
12452;SMM4_LARJ1;15664;16284;Y;330
12453;LARJ1_THB1;16284;15857;Y;390
12454;THB1_LNC1;15857;16372;Y;400
12455;LNC1_PRD3;16372;15088;Y;480
12456;PRD3_RGLE2;15088;15407;Y;630
12457;GGC2_FMGO3;14142;17099;Y;240
12458;FMGO3_AS1;17099;13179;Y;280
12460;LVDR1_AM3;14726;13072;Y;470
12461;PML2_PVH2;15026;15214;Y;270
12462;SA4_QCH2;15529;15218;Y;300
12463;QCH2_FMGC1;15218;17094;Y;290
12464;FMGC1_CHAO1;17094;13571;Y;370
12467;FND2_4CAM3;17103;12845;Y;360
12468;4CAM3_TAZ2;12845;15826;Y;500
12469;TAZ2_FS1;15826;17172;Y;800
12470;FS1_ASRR3;17172;13193;Y;300
12473;ASRR2_FS2;13192;17173;Y;340
12474;FS2_TAZ1;17173;15825;Y;790
12475;TAZ1_4CAM4;15825;12846;Y;420
12478;HSJ12_RCA;14261;15321;Y;550
12481;AAL2_TRD1;12869;15909;Y;260
12482;CUSF1_RGT1;13887;15417;Y;180
12483;RGT1_CRMT1;15417;13776;Y;310
12484;CRMT1_CSTM1;13776;13857;Y;450
12488;GUIF1_TOR1;14211;15890;Y;280
12491;MTCT1_PAUS1;14957;17357;Y;250
12492;PAUS1_LIN1;17357;16358;Y;260
12493;SDMC4_SER2;15609;15619;Y;400
12494;SER2_HMT1;15619;14246;Y;270
12497;ALVC_BRTC1;13058;13402;Y;250
12498;BRTC1_GODH5;13402;14175;Y;260
12499;GODH6_BRTC2;14176;13403;Y;210
12506;SER1_SDMC3;15618;15608;Y;490
12507;LIN2_PAUS2;16359;17358;Y;290
12508;PAUS2_MTCT2;17358;14958;Y;200
12511;TOR4_GUIF2;15893;14212;Y;360
12515;CSTM2_CRMT2;13858;13777;Y;500
12516;CRMT2_RGT2;13777;15418;Y;240
12517;RGT2_CUSF2;15418;13888;Y;160
12518;CUSF2_CUS4;13888;13886;Y;280
12519;CUS4_TFV2;13886;15855;Y;410
12524;MFP2_PDAM2;14833;17424;Y;290
12525;PDAM2_GUFS2;17424;14210;Y;260
12526;GUFS2_FLO2;14210;17066;Y;370
12527;MTA2_MALM2;14949;14767;Y;260
12528;MALM2_AZN2;14767;13236;Y;310
12529;AZN2_CNV2;13236;13676;Y;400
12535;SMM3_MOD2;15663;14879;Y;420
12536;MOD2_OG;14879;17297;Y;400
12539;IPO4_HSJ13;14333;14262;Y;330
12541;PDM1_PMVA1;17441;15034;Y;180
12542;PMVA1_CHC1;15034;13576;Y;340
12543;CHC1_GU1;13576;14199;Y;490
12544;GU1_GDM11;14199;14131;Y;430
12547;QTAD1_PIN1;15245;17489;Y;190
12548;PIN1_MAII1;17489;14745;Y;360
12557;IPRN2_LGCL2;14336;16329;Y;530
12558;LGCL2_CPL;16329;13733;Y;260
12562;IPRN1_ISEP3;14335;14344;Y;410
12578;RNH1_PQN1;15457;15072;Y;330
12579;PQN1_VLC1;15072;16052;Y;260
12580;VLC1_FBC1;16052;17030;Y;520
12581;BRB3_PNG1;13353;15046;Y;730
12582;PNG1_BCP1;15046;13266;Y;460
12586;ARNH1_JAE1;13138;14357;Y;280
12587;JAE1_VRD1;14357;16081;Y;520
12588;VRD1_FRNS1;16081;17148;Y;400
12589;FRNS1_PTDM1;17148;15185;Y;410
12590;PTDM1_ALM1;15185;13041;Y;290
12591;GND1_ELVG2;14160;14056;Y;530
12592;RB3_RBRI1;15291;15304;Y;310
12593;CNG2_BRSE2;13656;13398;Y;250
12595;BS1_BCM3;13412;13262;Y;380
12596;SDP1_RBSS1;15612;15308;Y;280
12600;QSEC1_PREA1;15239;15094;Y;410
12603;CRV1_MATC1;13806;14778;Y;380
12605;PQBT2_GODH3;15067;14173;Y;480
12610;SMAT1_RGDI3;15655;15399;Y;280
12614;QTC1_C61;15249;13477;Y;260
12615;C61_QSTG1;13477;15243;Y;370
12616;QSTG1_PMV1;15243;15032;Y;350
12617;PMV1_FTV1;15032;17212;Y;220
12618;FTV1_FSCA1;17212;17174;Y;210
12619;FSCA1_APDL1;17174;13107;Y;380
12620;APDL1_FZL1;13107;17221;Y;170
12621;FZL1_OL1;17221;17300;Y;340
12622;OL1_DDA1;17300;13956;Y;170
12623;DDA1_NP1;13956;17283;Y;250
12626;NP2_DDA2;17284;13957;Y;240
12627;FBC2_VLC2;17031;16053;Y;380
12628;VLC2_PQN2;16053;15073;Y;220
12629;PQN2_RNH2;15073;15458;Y;470
12630;RNH2_RBD2;15458;15293;Y;470
12632;ARS5_ENX2;13158;14071;Y;360
12633;ASP4_HSJ3;13187;14265;Y;450
12634;IPO5_ST2;14334;15755;Y;410
12635;ST2_AML3;15755;13079;Y;220
12636;AML3_CPU2;13079;13749;Y;460
12637;CPU2_VNC2;13749;16076;Y;460
12638;MTB2_CNG2;14952;13656;Y;490
12640;BRSE2_QTL2;13398;15253;Y;190
12641;RSR2_SRP2;15495;15734;Y;450
12642;SRP2_RUL2;15734;15522;Y;250
12643;RUL2_RAEP3;15522;15279;Y;220
12644;RAEP3_PREC2;15279;15097;Y;250
12647;LDD9_QTI;16308;15251;Y;380
12648;QTI_REAL1;15251;15366;Y;450
12649;REAL1_TVLR1;15366;15958;Y;460
12650;TVLR1_PQC1;15958;15070;Y;410
12651;PQC1_DAH1;15070;13933;Y;360
12652;DAH1_DAFC1;13933;13931;Y;380
12653;DAFC1_PCID4;13931;17386;Y;300
12657;PCID3_DAFC2;17385;13932;Y;250
11534;LW2_SVT4;14736;15810;Y;160
11535;SVT4_PLIM2;15810;15001;Y;360
11537;ISEP4_ALVT2;14345;13064;Y;210
