ID;CODE;COLOR;DEPOTS;SCHEDULE_ID
3972895;3;11725917;0;12179069
3972896;4;7920610;0;12179069
3972897;5;15116503;0;12179069
3971864;7;16752777;0;12178683
3971865;8;15702186;0;12178683
3971866;9;16774223;0;12178683
3982034;3;16730476;0;12182960
3969546;1;13816463;0;12177780
3969547;2;16224167;0;12177780
3971928;1;10661328;0;12178693
3971929;2;7619272;0;12178693
3971930;3;12344664;0;12178693
3971931;4;15605837;0;12178693
3971932;5;1889186;0;12178693
3972047;1;11725917;0;12178770
3972048;2;12236908;0;12178770
3977938;1;11725917;0;12180549
3970929;1;16177368;0;12178304
3971021;1;12929932;0;12178334
3971022;2;2061822;0;12178334
3971107;3;16730476;0;12178357
3971108;1;5266903;0;12178357
3971109;2;3911823;0;12178357
3977939;2;14521461;0;12180549
3977940;3;15452127;0;12180549
3977941;4;16722731;0;12180549
3977942;5;16755404;0;12180549
3971125;1;16741688;0;12178361
3971126;2;3295922;0;12178361
3971127;3;16550316;0;12178361
3971128;4;3193487;0;12178361
3977943;6;16637414;0;12180549
3977944;7;9392285;0;12180549
3977952;1;9596590;0;12180551
3977953;2;16208788;0;12180551
3971280;1;2061822;0;12178509
3971281;2;13121626;0;12178509
3977954;3;15367773;0;12180551
3978426;1;16574595;0;12180774
3978427;2;15452127;0;12180774
3978428;3;10840399;0;12180774
3978479;1;7619272;0;12180787
3978480;2;11822925;0;12180787
3978481;3;10840399;0;12180787
3978482;4;11331054;0;12180787
3982035;1;5266903;0;12182960
3982036;2;3911823;0;12182960
3982037;4;9323909;0;12182960
3978631;13;9075037;0;12180828
3979021;1;16719310;0;12180961
3972225;1;16561365;0;12178884
3972226;2;15585692;0;12178884
3972227;3;11331054;0;12178884
3979022;2;16147631;0;12180961
3972228;4;15720141;0;12178884
3972229;5;16745027;0;12178884
3972230;6;12805317;0;12178884
3972231;7;13473141;0;12178884
3979023;3;15452127;0;12180961
3979073;1;16574595;0;12180998
3979098;1;2061822;0;12181021
3979099;2;10322362;0;12181021
3972232;8;12236908;0;12178884
3972233;9;14886251;0;12178884
3979100;3;15605837;0;12181021
3972234;10;7619272;0;12178884
3954142;11;4724221;0;12162551
3979101;4;1879160;0;12181021
3954143;10;7343188;0;12162551
3972235;11;16666330;0;12178884
3979102;5;12344664;0;12181021
3972311;1;7855591;0;12178929
3954144;15;14501010;0;12162551
3972312;2;16550316;0;12178929
