ID;PATH_VERSION_ID;STOP_ID;ZONE_ID
65577;4001245;66;2
65578;4001245;65;2
18974;4003826;2531;2
18975;4003826;753;2
18976;4003826;653;2
18977;4003826;661;2
18978;4003826;659;2
18979;4003826;662;2
18980;4003826;651;2
18981;4003826;649;2
18982;4003826;1366;2
18983;4003826;90;2
18984;4003826;88;2
18985;4003826;86;2
18986;4003826;84;2
18987;4003826;82;2
18988;4003826;2224;2
18989;4003826;2223;2
18990;4003826;1586;2
18991;4003826;1584;2
18992;4003826;1582;2
18993;4003826;1580;2
18994;4003826;1858;2
67281;4002283;836;42
67282;4002283;834;42
38601;4004600;2361;2
38602;4004600;1317;2
67283;4002283;832;42
67284;4002283;830;43
67285;4002283;447;43
67286;4002283;449;2
67287;4002283;398;2
67288;4002283;370;2
67289;4002283;368;2
67290;4002283;366;2
67291;4002283;1712;2
67292;4002283;1710;2
67293;4002283;1690;2
67294;4002283;237;2
67295;4002283;235;2
67296;4002283;246;2
67297;4002283;1371;2
67298;4002283;944;2
67299;4002283;942;2
67300;4002283;938;2
67301;4002283;955;2
67302;4002283;929;2
67303;4002283;898;2
67304;4002283;882;2
67305;4002283;852;2
67306;4002283;843;2
67307;4002283;323;2
67308;4002283;326;2
67309;4002283;378;2
67310;4002283;1948;2
67311;4002283;4000010;2
67321;4002441;357;2
67322;4002441;380;2
67323;4002441;842;2
67324;4002441;844;2
67325;4002441;859;2
38603;4004600;635;2
38604;4004600;633;2
38605;4004600;609;2
38606;4004600;610;2
38607;4004600;1369;2
38608;4004600;1371;2
38609;4004600;944;2
38610;4004600;942;2
38611;4004600;940;2
38612;4004600;957;2
38613;4004600;929;2
38614;4004600;861;2
38615;4004600;854;2
38616;4004600;845;2
38617;4004600;843;2
38618;4004600;323;2
38619;4004600;325;2
38620;4004600;1592;2
38621;4004600;1590;2
38622;4004600;1588;2
38623;4004600;1847;2
38624;4004600;1845;2
38625;4004600;29;2
38626;4004600;27;2
38627;4004600;44;2
38628;4004600;42;2
38629;4004600;1237;2
67326;4002441;860;2
67327;4002441;924;2
67328;4002441;958;2
67329;4002441;948;2
67330;4002441;939;2
67331;4002441;953;2
67332;4002441;1375;2
67333;4002441;233;2
67334;4002441;232;2
67335;4002441;234;2
67336;4002441;1700;2
67337;4002441;1709;2
67338;4002441;1711;2
67339;4002441;365;2
67340;4002441;367;2
67341;4002441;369;2
67342;4002441;372;2
67343;4002441;397;2
67344;4002441;448;2
67345;4002441;446;2
67346;4002441;829;1
67347;4002441;829;2
67348;4002441;831;1
67349;4002441;831;2
67350;4002441;833;1
67351;4002441;833;2
67352;4002441;836;2
67353;4002443;836;2
67354;4002443;834;1
67355;4002443;834;2
67356;4002443;832;1
67357;4002443;832;2
67358;4002443;830;1
67359;4002443;830;2
67360;4002443;447;2
67361;4002443;449;2
67362;4002443;398;2
67363;4002443;370;2
67364;4002443;368;2
67365;4002443;366;2
67366;4002443;1712;2
67367;4002443;1710;2
49725;4005680;940;2
49726;4005680;957;2
67368;4002443;1690;2
67369;4002443;237;2
67370;4002443;235;2
67371;4002443;246;2
67372;4002443;1371;2
67373;4002443;944;2
67374;4002443;942;2
