ID;CODE;COLOR;OBS;PRECEDING_ID;DEPOTS;SCHEDULE_ID;VEHICLETYPE_ID
1423346;58;7895160;;;0;10607023;
1423347;59;8553090;;;0;10607023;
1423348;60;9211020;;;0;10607023;
1423349;61;9539985;;;0;10607023;
1278243;05;32768;;;0;10568843;
1279461;01;255;;;0;10568965;
1279462;02;65280;;;0;10568965;
1423350;62;9868950;;;0;10607023;
1423351;63;10197915;;;0;10607023;
1423352;64;10526880;;;0;10607023;
1423353;65;10855845;;;0;10607023;
1355107;11;16744640;;;0;10581463;
1130458;01;255;;;0;1029151;
1130459;02;65280;;;0;1029151;
1130523;03;16776960;;;0;1029151;
1130517;03;16776960;;;0;1029152;
1130518;01;255;;;0;1029152;
1130532;02;65280;;;0;1029152;
1423354;66;11184810;;;0;10607023;
1423355;67;11513775;;;0;10607023;
1423356;68;11842740;;;0;10607023;
1423357;69;12171705;;;0;10607023;
1423358;70;12500670;;;0;10607023;
1423359;71;12829635;;;0;10607023;
1423360;72;13158600;;;0;10607023;
1423361;73;13487565;;;0;10607023;
1423362;74;13816530;;;0;10607023;
1423363;75;14145495;;;0;10607023;
1423364;76;14474460;;;0;10607023;
1132169;02;65280;;;0;1029170;
1132145;01;255;;;0;1029170;
1423365;77;14803425;;;0;10607023;
1423366;78;15132390;;;0;10607023;
1423367;79;15461355;;;0;10607023;
1423368;80;15790320;;;0;10607023;
1380499;72;8816262;;;0;10587523;
1380500;73;11053224;;;0;10587523;
1432319;01;255;;;0;10608463;
1432320;03;16776960;;;0;10608463;
1432321;05;32768;;;1;10608463;
1432322;06;65535;;;0;10608463;
1432323;02;65280;;;0;10608463;
1432324;08;14200751;;;1;10608463;
1306419;01;255;;;0;10573083;
1306420;03;16776960;;;0;10573083;
1306421;08;13606558;;;0;10573083;
1306422;04;8388863;;;0;10573083;
1380501;74;14079702;;;0;10587523;
1229999;20;12632256;;;1;10559963;
1310679;02;65280;;;0;10574103;
1230000;13;16744512;;;0;10559963;
1230001;12;8700353;;;0;10559963;
1380502;75;15658734;;;0;10587523;
1386416;22;12058551;;;1;10590925;
1230002;16;8454143;;;0;10559963;
1310694;62;16384;;;0;10574103;
1310720;02;65280;;;0;10573863;
1310721;03;16776960;;;0;10573863;
1386417;23;16777119;;;1;10590925;
1310719;01;255;;;0;10573863;
1218059;01;255;;;0;10549803;
1218060;02;65280;;;0;10549803;
1218061;03;16776960;;;0;10549803;
1218062;04;8388863;;;0;10549803;
1218063;05;32768;;;0;10549803;
1175399;01;255;;;0;10446440;
1175400;02;65280;;;0;10446040;
1218064;06;65535;;;0;10549803;
1181419;01;255;;;0;10518803;
1181420;02;65280;;;0;10518803;
1386418;24;14663679;;;1;10590925;
1173101;02;8453888;;;0;10513504;
1218065;07;16711935;;;0;10549803;
1173102;01;255;;;0;10513504;
1181421;03;16776960;;;0;10518803;
1181422;04;8388863;;;0;10518803;
1230003;14;9934796;;;0;10559963;
1230004;18;15522265;;;0;10559963;
1230005;15;8421376;;;0;10559963;
1275859;03;16776960;;;0;10568503;
1386419;20;12632256;;;1;10590925;
1187839;02;65280;[$I_15:00][$I_22:50];;0;10525743;
1187840;01;255;;;0;10525743;
1386420;21;13421823;;;1;10590925;
1432325;09;8405056;;;0;10608463;
1175401;01;255;;;0;10446040;
1432326;07;16711935;;;0;10608463;
1432327;04;8388863;;;0;10608463;
1386402;20;12632256;;;1;10590924;
1386403;12;7059126;;;0;10590924;
1386404;13;16744512;;;0;10590924;
1386405;14;8421568;;;0;10590924;
1386406;15;8421440;;;0;10590924;
1386407;11;16744640;;;0;10590924;
1386408;02;65280;;;0;10590924;
1386409;05;32768;;;0;10590924;
1386410;06;65535;;;0;10590924;
1386411;07;16711935;;;0;10590924;
1386412;03;16776960;;;0;10590924;
1275860;01;255;;;0;10568503;
1275861;02;65280;;;0;10568503;
1275862;04;8388863;;;0;10568503;
1386413;01;255;;;0;10590924;
1310680;03;16776960;;;1;10574103;
1310681;06;65535;;;1;10574103;
1386414;04;8388863;;;0;10590924;
