ID;NAME;EMPTY;TYPEVALUE;OLD_TYPEVALUE
1024690;Portela_CSodre;N;0;0
1024707;GFreire_COurique;N;0;0
1024708;COurique_GFreire;N;0;0
1024714;Mg(Est)_PAerop;Y;1;0
1024727;Alges_BPCruz;N;0;0
1024728;BPCruz_Alges;N;0;0
1024729;Alges_PontinhM;N;0;0
1024745;AlcantT_Rato;N;0;0
1024746;Rato_AlcantT;N;0;0
1024747;EstrLuz_AStAmaro;N;0;0
1024748;AStAmaro_EstrLuz;N;0;0
1024749;Picheleir=Calvario;N;0;0
1024750;Calvario=Picheleir;N;0;0
1024765;RAlfand=Prazeres;N;0;0
1024766;Prazeres=RAlfand;N;0;0
1024785;PFigueir_Outurela;N;0;0
1024789;PFigueir=PCampismo;N;0;0
1024790;CSodre_PBenfica;N;0;0
1024791;PBenfica_CSodre;N;0;0
1024792;CSodre=SRios;N;0;0
1024793;SRios=CSodre;N;0;0
1024794;MPombal_SerafinaI;N;0;0
1024795;SerafinaI_MPombal;N;0;0
4003320;PBelVista_CSodre;N;0;0
4003321;CSodre_PBelVista-V;Y;1;0
1024798;CSodre_MoscavQ;N;0;0
1024799;MoscavQ_CSodre;N;0;0
1024800;MoscavQ_CREst;Y;1;0
1024801;CREst_MoscavQ;Y;1;0
1024802;MoscavQ_Mg(Est);Y;1;0
1024803;Mg(Est)_MoscavQ;Y;1;0
4003322;PBelVista_EOriente;N;0;0
4003323;EOriente_PBelVista-V;Y;1;0
4003324;Mg(Est)_PBelVista;Y;1;0
4003680;Restelo_Portela;N;0;0
4003681;LVelha_ECampol;N;0;0
4003980;MPombal_Alges;N;0;0
4003981;Alges_MPombal;N;0;0
4004000;PFigueir_Prazeres;N;0;0
1024812;PComerc_CemAjudaSA;N;0;0
1024813;StAmaro_PComerc;N;0;0
1024814;PComerc_StAmaro;N;0;0
4004001;Prazeres_PFigueir;N;0;0
1024817;CSodre_PVelho;N;0;0
1024818;PVelho_CSodre;N;0;0
4004640;Musgueira_LVelha;N;0;0
4004641;LVelha_Musgueira;N;0;0
4005520;Mf(Est)_Calvario;Y;1;0
4005540;Calvario_LVelha;N;0;0
1024823;MPombal_EDamaia;N;0;0
1024824;EDamaia_MPombal;N;0;0
