ID;NAME;SHORT_NAME;LATITUDE;LONGITUDE;LABEL_POS;VISIBLE;ACTIVE;CODE
734;Esc. Damião Gois;Esc. Damião Gois;38,7576217651367;-9,12637615203857;T;Y;Y;14708
735;Colegio Valsassina;Colegio Valsassina;38,755500793457;-9,12634563446045;T;Y;Y;14710
736;B.º Flamenga;B.º Flamenga;38,7528610229492;-9,12343406677246;T;Y;Y;14711
737;R. Ferreira Castro;R. Ferreira Castro;38,7544784545898;-9,12496566772461;T;Y;Y;14712
738;R. Ferreira Castro;R. Ferreira Castro;38,7541694641113;-9,12488460540771;T;Y;Y;14713
739;Pq. Bela Vista;Pq. Bela Vista;38,7505798339844;-9,12391662597656;T;Y;Y;14714
740;B.º Flamenga;B.º Flamenga;38,7527618408203;-9,12359809875488;T;Y;Y;14715
741;R. Pedro Cruz;R. Pedro Cruz;38,7503509521484;-9,12075424194336;T;Y;Y;14716
742;Pq. Bela Vista;Pq. Bela Vista;38,7502708435059;-9,1238899230957;T;Y;Y;14717
743;Colegio Valsassina;Colegio Valsassina;38,7553215026855;-9,12641429901123;T;Y;Y;14720
744;Av. Dr. Arlindo Vicente;Av. Dr. Arlindo Vicente;38,7536315917969;-9,12593936920166;T;Y;Y;14723
745;Av. Dr. Arlindo Vicente;Av. Dr. Arlindo Vicente;38,7537307739258;-9,12606716156006;T;Y;Y;14724
746;Pq. Bela Vista;Pq. Bela Vista;38,7510414123535;-9,12480545043945;T;Y;Y;14725
747;Pq. Bela Vista;Pq. Bela Vista;38,7510604858398;-9,12455463409424;T;Y;Y;14726
748;B.º Flamenga;B.º Flamenga;38,7522811889648;-9,12320995330811;T;Y;Y;14727
749;B.º Flamenga;B.º Flamenga;38,7526588439941;-9,12300205230713;T;Y;Y;14728
750;Av. Avelino Teixeira Mota (CERCI);Av. Avelino Teixeira Mota (CERCI);38,7520904541016;-9,12131309509277;T;Y;Y;14729
751;Av. Avelino Teixeira Mota (CERCI);Av. Avelino Teixeira Mota (CERCI);38,7521209716797;-9,12085723876953;T;Y;Y;14730
752;Voz Operario;Voz Operario;38,7150688171387;-9,12872982025146;T;Y;Y;14801
753;Voz Operario;Voz Operario;38,715030670166;-9,128830909729;T;Y;Y;14802
754;Graca;Graca;38,7172317504883;-9,12971687316895;T;Y;Y;14803
755;Graca;Graca;38,7172203063965;-9,12988376617432;T;Y;Y;14804
756;Graca;Graca;38,721282;-9,129183;T;Y;Y;9118
757;R. Bombeiros Voluntarios Dafundo;R. Bombeiros Voluntarios Dafundo;38,7002716064453;-9,24688053131104;T;Y;Y;14901
